Name	Gene	Distance
chr21:44923397-44923897	ADARB1	[150192]
chr21:44924903-44925403	ADARB1	[148686]
chr21:44926209-44926709	ADARB1	[147380]
chr21:44927443-44927943	ADARB1	[146146]
chr21:44929066-44929566	ADARB1	[144523]
chr21:44930413-44930913	ADARB1	[143176]
chr21:44931063-44931563	ADARB1	[142526]
chr21:44931850-44932350	ADARB1	[141739]
chr21:44932515-44933015	ADARB1	[141074]
chr21:44934285-44934785	ADARB1	[139304]
chr21:44934975-44935475	ADARB1	[138614]
chr21:44938750-44939250	ADARB1	[134839]
chr21:44939715-44940215	ADARB1	[133874]
chr21:44942535-44943035	ADARB1	[131054]
chr21:44944786-44945286	ADARB1	[128803]
chr21:44948907-44949407	ADARB1	[124682]
chr21:44949645-44950145	ADARB1	[123944]
chr21:44952691-44953191	ADARB1	[120898]
chr21:44959876-44960376	ADARB1	[113713]
chr21:44964349-44964849	ADARB1	[109240]
chr21:44965239-44965739	ADARB1	[108350]
chr21:44966027-44966527	ADARB1	[107562]
chr21:44966674-44967174	ADARB1	[106915]
chr21:44968008-44968508	ADARB1	[105581]
chr21:44969780-44970280	ADARB1	[103809]
chr21:44971526-44972026	ADARB1	[102063]
chr21:44972731-44973231	ADARB1	[100858]
chr21:44975293-44975793	ADARB1	[98296]
chr21:44979858-44980358	ADARB1	[93731]
chr21:44982554-44983054	ADARB1	[91035]
chr21:44983546-44984046	ADARB1	[90043]
chr21:44984404-44984904	ADARB1	[89185]
chr21:44985820-44986320	ADARB1	[87769]
chr21:44987492-44987992	ADARB1	[86097]
chr21:44988635-44989135	ADARB1	[84954]
chr21:44989344-44989844	ADARB1	[84245]
chr21:44990138-44990638	ADARB1	[83451]
chr21:44990843-44991343	ADARB1	[82746]
chr21:44992277-44992777	ADARB1	[81312]
chr21:44995133-44995633	ADARB1	[78456]
chr21:44997201-44997701	ADARB1	[76388]
chr21:45003282-45003782	ADARB1	[70307]
chr21:45006592-45007092	ADARB1	[66997]
chr21:45010002-45010502	ADARB1	[63587]
chr21:45012329-45012829	ADARB1	[61260]
chr21:45018254-45018754	ADARB1	[55335]
chr21:45018770-45019270	ADARB1	[54819]
chr21:45021391-45021891	ADARB1	[52198]
chr21:45033010-45033510	ADARB1	[40579]
chr21:45039930-45040430	ADARB1	[33659]
chr21:45040432-45040932	ADARB1	[33157]
chr21:45041246-45041746	ADARB1	[32343]
chr21:45044568-45045068	ADARB1	[29021]
chr21:45047405-45047905	ADARB1	[26184]
chr21:45048501-45049001	ADARB1	[25088]
chr21:45052177-45052677	ADARB1	[21412]
chr21:45056844-45057344	ADARB1	[16745]
chr21:45059053-45059553	ADARB1	[14536]
chr21:45072249-45072749	ADARB1	[1340]
chr21:45074277-45074777	ADARB1	[0]
chr21:45076387-45076887	ADARB1	[0]
chr21:45078923-45079423	ADARB1	[0]
chr21:45080036-45080536	ADARB1	[0]
chr21:45081011-45081511	ADARB1	[0]
chr21:45082791-45083291	ADARB1	[0]
chr21:45084014-45084514	ADARB1	[0]
chr21:45085014-45085514	ADARB1	[0]
chr21:45085789-45086289	ADARB1	[0]
chr21:45087037-45087537	ADARB1	[0]
chr21:45088648-45089148	ADARB1	[0]
chr21:45091813-45092313	ADARB1	[0]
chr21:45093051-45093551	ADARB1	[0]
chr21:45094372-45094872	ADARB1	[0]
chr21:45096780-45097280	ADARB1	[0]
chr21:45098766-45099266	ADARB1	[0]
chr21:45103947-45104447	ADARB1	[0]
chr21:45104450-45104950	ADARB1	[0]
chr21:45108847-45109347	ADARB1	[0]
chr21:45109741-45110241	ADARB1	[0]
chr21:45110843-45111343	ADARB1	[0]
